fixture_id,seed_index,seed,wave,ts_damage,ts_kills,ts_clear_ms,ts_energy_peak,damage_min,damage_max,clear_ms_min,clear_ms_max,energy_min,energy_max,damage_tolerance_pct,clear_ms_tolerance_pct,energy_tolerance_pct
baseline-s06-w05,6,2689054385,5,350,7,7033,40,332.5,367.5,6892.34,7173.66,38,42,5,2,5
baseline-s06-w06,6,2689054385,6,432,8,7867,40,410.4,453.6,7709.66,8024.34,38,42,5,2,5
baseline-s06-w07,6,2689054385,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s06-w08,6,2689054385,8,558,9,8800,40,530.1,585.9,8624,8976,38,42,5,2,5
baseline-s06-w09,6,2689054385,9,594,9,8833,40,564.3,623.7,8656.34,9009.66,38,42,5,2,5
baseline-s06-w10,6,2689054385,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s07-w01,7,3391537244,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s07-w02,7,3391537244,2,228,6,5167,40,216.6,239.4,5063.66,5270.34,38,42,5,2,5
baseline-s07-w03,7,3391537244,3,252,6,6333,40,239.4,264.6,6206.34,6459.66,38,42,5,2,5
baseline-s07-w04,7,3391537244,4,322,7,7117,40,305.9,338.1,6974.66,7259.34,38,42,5,2,5
baseline-s07-w05,7,3391537244,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s07-w06,7,3391537244,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s07-w07,7,3391537244,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s07-w08,7,3391537244,8,558,9,8783,40,530.1,585.9,8607.34,8958.66,38,42,5,2,5
baseline-s07-w09,7,3391537244,9,594,9,8783,40,564.3,623.7,8607.34,8958.66,38,42,5,2,5
baseline-s07-w10,7,3391537244,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s08-w01,8,3121045515,1,170,5,4067,40,161.5,178.5,3985.66,4148.34,38,42,5,2,5
baseline-s08-w02,8,3121045515,2,228,6,4817,40,216.6,239.4,4720.66,4913.34,38,42,5,2,5
baseline-s08-w03,8,3121045515,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s08-w04,8,3121045515,4,322,7,6483,40,305.9,338.1,6353.34,6612.66,38,42,5,2,5
baseline-s08-w05,8,3121045515,5,350,7,6483,40,332.5,367.5,6353.34,6612.66,38,42,5,2,5
baseline-s08-w06,8,3121045515,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s08-w07,8,3121045515,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s08-w08,8,3121045515,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s08-w09,8,3121045515,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s08-w10,8,3121045515,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s09-w01,9,2504174,1,170,5,4233,40,161.5,178.5,4148.34,4317.66,38,42,5,2,5
baseline-s09-w02,9,2504174,2,228,6,5483,40,216.6,239.4,5373.34,5592.66,38,42,5,2,5
baseline-s09-w03,9,2504174,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s09-w04,9,2504174,4,322,7,7050,40,305.9,338.1,6909,7191,38,42,5,2,5
baseline-s09-w05,9,2504174,5,350,7,7000,40,332.5,367.5,6860,7140,38,42,5,2,5
baseline-s09-w06,9,2504174,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s09-w07,9,2504174,7,464,8,7833,40,440.8,487.2,7676.34,7989.66,38,42,5,2,5
baseline-s09-w08,9,2504174,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s09-w09,9,2504174,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s09-w10,9,2504174,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s10-w01,10,3155854453,1,170,5,4383,40,161.5,178.5,4295.34,4470.66,38,42,5,2,5
baseline-s10-w02,10,3155854453,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s10-w03,10,3155854453,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s10-w04,10,3155854453,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s10-w05,10,3155854453,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s10-w06,10,3155854453,6,432,8,7783,40,410.4,453.6,7627.34,7938.66,38,42,5,2,5
baseline-s10-w07,10,3155854453,7,464,8,7700,40,440.8,487.2,7546,7854,38,42,5,2,5
baseline-s10-w08,10,3155854453,8,558,9,8800,40,530.1,585.9,8624,8976,38,42,5,2,5
baseline-s10-w09,10,3155854453,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s10-w10,10,3155854453,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s11-w01,11,1241205584,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s11-w02,11,1241205584,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s11-w03,11,1241205584,3,252,6,6233,40,239.4,264.6,6108.34,6357.66,38,42,5,2,5
baseline-s11-w04,11,1241205584,4,322,7,6917,40,305.9,338.1,6778.66,7055.34,38,42,5,2,5
baseline-s11-w05,11,1241205584,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s11-w06,11,1241205584,6,432,8,7767,40,410.4,453.6,7611.66,7922.34,38,42,5,2,5
baseline-s11-w07,11,1241205584,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s11-w08,11,1241205584,8,558,9,8883,40,530.1,585.9,8705.34,9060.66,38,42,5,2,5
baseline-s11-w09,11,1241205584,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s11-w10,11,1241205584,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s12-w01,12,2030282351,1,170,5,4083,40,161.5,178.5,4001.34,4164.66,38,42,5,2,5
baseline-s12-w02,12,2030282351,2,228,6,5483,40,216.6,239.4,5373.34,5592.66,38,42,5,2,5
baseline-s12-w03,12,2030282351,3,252,6,5183,40,239.4,264.6,5079.34,5286.66,38,42,5,2,5
baseline-s12-w04,12,2030282351,4,322,7,6483,40,305.9,338.1,6353.34,6612.66,38,42,5,2,5
baseline-s12-w05,12,2030282351,5,350,7,5950,40,332.5,367.5,5831,6069,38,42,5,2,5
baseline-s12-w06,12,2030282351,6,432,8,7483,40,410.4,453.6,7333.34,7632.66,38,42,5,2,5
baseline-s12-w07,12,2030282351,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s12-w08,12,2030282351,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s12-w09,12,2030282351,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s12-w10,12,2030282351,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s13-w01,13,382050562,1,170,5,4350,40,161.5,178.5,4263,4437,38,42,5,2,5
baseline-s13-w02,13,382050562,2,228,6,4767,40,216.6,239.4,4671.66,4862.34,38,42,5,2,5
baseline-s13-w03,13,382050562,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s13-w04,13,382050562,4,322,7,7000,40,305.9,338.1,6860,7140,38,42,5,2,5
baseline-s13-w05,13,382050562,5,350,7,7050,40,332.5,367.5,6909,7191,38,42,5,2,5
baseline-s13-w06,13,382050562,6,432,8,7750,40,410.4,453.6,7595,7905,38,42,5,2,5
baseline-s13-w07,13,382050562,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s13-w08,13,382050562,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s13-w09,13,382050562,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s13-w10,13,382050562,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s14-w01,14,3687902329,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s14-w02,14,3687902329,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s14-w03,14,3687902329,3,252,6,6183,40,239.4,264.6,6059.34,6306.66,38,42,5,2,5
baseline-s14-w04,14,3687902329,4,322,7,6950,40,305.9,338.1,6811,7089,38,42,5,2,5
baseline-s14-w05,14,3687902329,5,350,7,7083,40,332.5,367.5,6941.34,7224.66,38,42,5,2,5
baseline-s14-w06,14,3687902329,6,432,8,7783,40,410.4,453.6,7627.34,7938.66,38,42,5,2,5
baseline-s14-w07,14,3687902329,7,464,8,7750,40,440.8,487.2,7595,7905,38,42,5,2,5
baseline-s14-w08,14,3687902329,8,558,9,8750,40,530.1,585.9,8575,8925,38,42,5,2,5
baseline-s14-w09,14,3687902329,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s14-w10,14,3687902329,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s15-w01,15,3155438468,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s15-w02,15,3155438468,2,228,6,4983,40,216.6,239.4,4883.34,5082.66,38,42,5,2,5
baseline-s15-w03,15,3155438468,3,252,6,6350,40,239.4,264.6,6223,6477,38,42,5,2,5
baseline-s15-w04,15,3155438468,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s15-w05,15,3155438468,5,350,7,6483,40,332.5,367.5,6353.34,6612.66,38,42,5,2,5
baseline-s15-w06,15,3155438468,6,432,8,6650,40,410.4,453.6,6517,6783,38,42,5,2,5
baseline-s15-w07,15,3155438468,7,464,8,7483,40,440.8,487.2,7333.34,7632.66,38,42,5,2,5
baseline-s15-w08,15,3155438468,8,558,9,8783,40,530.1,585.9,8607.34,8958.66,38,42,5,2,5
baseline-s15-w09,15,3155438468,9,594,9,8833,40,564.3,623.7,8656.34,9009.66,38,42,5,2,5
baseline-s15-w10,15,3155438468,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s16-w01,16,313508115,1,170,5,4033,40,161.5,178.5,3952.34,4113.66,38,42,5,2,5
baseline-s16-w02,16,313508115,2,228,6,5167,40,216.6,239.4,5063.66,5270.34,38,42,5,2,5
baseline-s16-w03,16,313508115,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s16-w04,16,313508115,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s16-w05,16,313508115,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s16-w06,16,313508115,6,432,8,7483,40,410.4,453.6,7333.34,7632.66,38,42,5,2,5
baseline-s16-w07,16,313508115,7,464,8,6483,40,440.8,487.2,6353.34,6612.66,38,42,5,2,5
baseline-s16-w08,16,313508115,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s16-w09,16,313508115,9,594,9,8783,40,564.3,623.7,8607.34,8958.66,38,42,5,2,5
baseline-s16-w10,16,313508115,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s17-w01,17,287593302,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s17-w02,17,287593302,2,228,6,4750,40,216.6,239.4,4655,4845,38,42,5,2,5
baseline-s17-w03,17,287593302,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s17-w04,17,287593302,4,322,7,7050,40,305.9,338.1,6909,7191,38,42,5,2,5
baseline-s17-w05,17,287593302,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s17-w06,17,287593302,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s17-w07,17,287593302,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s17-w08,17,287593302,8,558,9,8867,40,530.1,585.9,8689.66,9044.34,38,42,5,2,5
baseline-s17-w09,17,287593302,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s17-w10,17,287593302,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s18-w01,18,3085005501,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s18-w02,18,3085005501,2,228,6,4983,40,216.6,239.4,4883.34,5082.66,38,42,5,2,5
baseline-s18-w03,18,3085005501,3,252,6,6267,40,239.4,264.6,6141.66,6392.34,38,42,5,2,5
baseline-s18-w04,18,3085005501,4,322,7,7017,40,305.9,338.1,6876.66,7157.34,38,42,5,2,5
baseline-s18-w05,18,3085005501,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s18-w06,18,3085005501,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s18-w07,18,3085005501,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s18-w08,18,3085005501,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s18-w09,18,3085005501,9,594,9,8833,40,564.3,623.7,8656.34,9009.66,38,42,5,2,5
baseline-s18-w10,18,3085005501,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s19-w01,19,2601391352,1,170,5,4350,40,161.5,178.5,4263,4437,38,42,5,2,5
baseline-s19-w02,19,2601391352,2,228,6,4733,40,216.6,239.4,4638.34,4827.66,38,42,5,2,5
baseline-s19-w03,19,2601391352,3,252,6,5733,40,239.4,264.6,5618.34,5847.66,38,42,5,2,5
baseline-s19-w04,19,2601391352,4,322,7,6933,40,305.9,338.1,6794.34,7071.66,38,42,5,2,5
baseline-s19-w05,19,2601391352,5,350,7,7033,40,332.5,367.5,6892.34,7173.66,38,42,5,2,5
baseline-s19-w06,19,2601391352,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s19-w07,19,2601391352,7,464,8,7850,40,440.8,487.2,7693,8007,38,42,5,2,5
baseline-s19-w08,19,2601391352,8,558,9,8783,40,530.1,585.9,8607.34,8958.66,38,42,5,2,5
baseline-s19-w09,19,2601391352,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s19-w10,19,2601391352,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s20-w01,20,3300447223,1,170,5,4000,40,161.5,178.5,3920,4080,38,42,5,2,5
baseline-s20-w02,20,3300447223,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s20-w03,20,3300447223,3,252,6,6150,40,239.4,264.6,6027,6273,38,42,5,2,5
baseline-s20-w04,20,3300447223,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s20-w05,20,3300447223,5,350,7,7117,40,332.5,367.5,6974.66,7259.34,38,42,5,2,5
baseline-s20-w06,20,3300447223,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s20-w07,20,3300447223,7,464,8,7650,40,440.8,487.2,7497,7803,38,42,5,2,5
baseline-s20-w08,20,3300447223,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s20-w09,20,3300447223,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s20-w10,20,3300447223,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s21-w01,21,2439323882,1,170,5,3983,40,161.5,178.5,3903.34,4062.66,38,42,5,2,5
baseline-s21-w02,21,2439323882,2,228,6,5233,40,216.6,239.4,5128.34,5337.66,38,42,5,2,5
baseline-s21-w03,21,2439323882,3,252,6,6250,40,239.4,264.6,6125,6375,38,42,5,2,5
baseline-s21-w04,21,2439323882,4,322,7,6483,40,305.9,338.1,6353.34,6612.66,38,42,5,2,5
baseline-s21-w05,21,2439323882,5,350,7,6483,40,332.5,367.5,6353.34,6612.66,38,42,5,2,5
baseline-s21-w06,21,2439323882,6,432,8,7483,40,410.4,453.6,7333.34,7632.66,38,42,5,2,5
baseline-s21-w07,21,2439323882,7,464,8,7867,40,440.8,487.2,7709.66,8024.34,38,42,5,2,5
baseline-s21-w08,21,2439323882,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s21-w09,21,2439323882,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s21-w10,21,2439323882,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s22-w01,22,545839937,1,170,5,4483,40,161.5,178.5,4393.34,4572.66,38,42,5,2,5
baseline-s22-w02,22,545839937,2,228,6,5483,40,216.6,239.4,5373.34,5592.66,38,42,5,2,5
baseline-s22-w03,22,545839937,3,252,6,6300,40,239.4,264.6,6174,6426,38,42,5,2,5
baseline-s22-w04,22,545839937,4,322,7,7100,40,305.9,338.1,6958,7242,38,42,5,2,5
baseline-s22-w05,22,545839937,5,350,7,7100,40,332.5,367.5,6958,7242,38,42,5,2,5
baseline-s22-w06,22,545839937,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s22-w07,22,545839937,7,464,8,7767,40,440.8,487.2,7611.66,7922.34,38,42,5,2,5
baseline-s22-w08,22,545839937,8,558,9,8883,40,530.1,585.9,8705.34,9060.66,38,42,5,2,5
baseline-s22-w09,22,545839937,9,594,9,8750,40,564.3,623.7,8575,8925,38,42,5,2,5
baseline-s22-w10,22,545839937,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s23-w01,23,3558276012,1,170,5,4733,40,161.5,178.5,4638.34,4827.66,38,42,5,2,5
baseline-s23-w02,23,3558276012,2,228,6,5733,40,216.6,239.4,5618.34,5847.66,38,42,5,2,5
baseline-s23-w03,23,3558276012,3,252,6,6183,40,239.4,264.6,6059.34,6306.66,38,42,5,2,5
baseline-s23-w04,23,3558276012,4,322,7,6900,40,305.9,338.1,6762,7038,38,42,5,2,5
baseline-s23-w05,23,3558276012,5,350,7,7050,40,332.5,367.5,6909,7191,38,42,5,2,5
baseline-s23-w06,23,3558276012,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s23-w07,23,3558276012,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s23-w08,23,3558276012,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s23-w09,23,3558276012,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s23-w10,23,3558276012,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s24-w01,24,3182183195,1,170,5,3983,40,161.5,178.5,3903.34,4062.66,38,42,5,2,5
baseline-s24-w02,24,3182183195,2,228,6,4800,40,216.6,239.4,4704,4896,38,42,5,2,5
baseline-s24-w03,24,3182183195,3,252,6,5217,40,239.4,264.6,5112.66,5321.34,38,42,5,2,5
baseline-s24-w04,24,3182183195,4,322,7,6733,40,305.9,338.1,6598.34,6867.66,38,42,5,2,5
baseline-s24-w05,24,3182183195,5,350,7,6483,40,332.5,367.5,6353.34,6612.66,38,42,5,2,5
baseline-s24-w06,24,3182183195,6,432,8,7767,40,410.4,453.6,7611.66,7922.34,38,42,5,2,5
baseline-s24-w07,24,3182183195,7,464,8,7733,40,440.8,487.2,7578.34,7887.66,38,42,5,2,5
baseline-s24-w08,24,3182183195,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s24-w09,24,3182183195,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s24-w10,24,3182183195,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s25-w01,25,244194750,1,170,5,3983,40,161.5,178.5,3903.34,4062.66,38,42,5,2,5
baseline-s25-w02,25,244194750,2,228,6,4983,40,216.6,239.4,4883.34,5082.66,38,42,5,2,5
baseline-s25-w03,25,244194750,3,252,6,5483,40,239.4,264.6,5373.34,5592.66,38,42,5,2,5
baseline-s25-w04,25,244194750,4,322,7,7050,40,305.9,338.1,6909,7191,38,42,5,2,5
baseline-s25-w05,25,244194750,5,350,7,6733,40,332.5,367.5,6598.34,6867.66,38,42,5,2,5
baseline-s25-w06,25,244194750,6,432,8,7733,40,410.4,453.6,7578.34,7887.66,38,42,5,2,5
baseline-s25-w07,25,244194750,7,464,8,7817,40,440.8,487.2,7660.66,7973.34,38,42,5,2,5
baseline-s25-w08,25,244194750,8,558,9,8733,40,530.1,585.9,8558.34,8907.66,38,42,5,2,5
baseline-s25-w09,25,244194750,9,594,9,8733,40,564.3,623.7,8558.34,8907.66,38,42,5,2,5
baseline-s25-w10,25,244194750,10,700,10,9733,40,665,735,9246.35,10219.65,38,42,5,5,5
baseline-s26-w01,26,2165189125,1,170,5,4233,40,161.5,178.5,4148.34,4317.66,38,42,5,2,5
